Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
28/11/2020, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 15, COLONIA, OMBUES DE LAVALLE, 1, 425365, 6244720 
1/12/2020, APARICIO SARAVIA Y PEDRAGOSA SIERRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 17, MALDONADO, SAN RAFAEL - EL PLACER, 1, 690090, 6134395 
1/12/2020, PRESBITERO SOLANO GARCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 17, PAYSANDU, PAYSANDU, 1, 399930, 6423470 
1/12/2020, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 11, SALTO, SIN DATOS, 1, 410490, 6523980 
1/12/2020, SAN MARTIN, CAÍDA, LEVE, MARTES, 19, RIVERA, RIVERA, 1, 638700, 6580390 
1/12/2020, SIN DATOS, ATROPELLO DE ANIMALES, SIN LESIONADOS, MARTES, 20, ROCHA, SIN DATOS, 1, 828065, 6264560 
1/12/2020, AVENIDA NICOLAS SOLARI, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MARTES, 21, ROCHA, SIN DATOS, 1, 760725, 6160620 
1/12/2020, CLAUDIO WILLIMAN, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 23, LAVALLEJA, MINAS, 1, 662065, 6195210 
2/12/2020, SIN DATOS, ATROPELLO DE ANIMALES, SIN LESIONADOS, MIÉRCOLES, 2, RIO NEGRO, SIN DATOS, 1, 410705, 6345200 
2/12/2020, ALBATROS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 12, MALDONADO, MALDONADO, 1, 685675, 6136355 
2/12/2020, ITUZAINGO, DESPISTE, LEVE, MIÉRCOLES, 13, RIVERA, RIVERA, 1, 639800, 6580775 
2/12/2020, GRUTA DE LA MARCELA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 13, ARTIGAS, SIN DATOS, 1, 557425, 6625180 
2/12/2020, EDUARDO MARQUEZ CASTRO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, CANELONES, SOLYMAR, 1, 594940, 6146735 
2/12/2020, RUTA 7, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 22, CERRO LARGO, FRAILE MUERTO, 1, 733000, 6400560 
