Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
4/1/2021, JOSE ANTONIO CABRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, MONTEVIDEO, MONTEVIDEO, 1, 579240, 6140820 
6/1/2021, CAMINO CARLOS LOPEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 7, MONTEVIDEO, SIN DATOS, 1, 573850, 6147940 
6/1/2021, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 6, MONTEVIDEO, MONTEVIDEO, 1, 570925, 6142605 
6/1/2021, CAMINO CORRALES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 9, MONTEVIDEO, MONTEVIDEO, 1, 577590, 6143355 
6/1/2021, CAMINO CIBILS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 16, MONTEVIDEO, MONTEVIDEO, 1, 567020, 6140655 
7/1/2021, AVENIDA GENERAL GARIBALDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 6, MONTEVIDEO, MONTEVIDEO, 1, 574980, 6140360 
7/1/2021, JULIO HERRERA Y OBES, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 10, MONTEVIDEO, MONTEVIDEO, 1, 573585, 6136860 
7/1/2021, LARRAVIDE, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 13, MONTEVIDEO, MONTEVIDEO, 1, 579495, 6139775 
7/1/2021, HOCQUART, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 14, MONTEVIDEO, MONTEVIDEO, 1, 575525, 6138905 
7/1/2021, AVENIDA ITALIA, ATROPELLO DE PEATÓN, LEVE, JUEVES, 15, MONTEVIDEO, MONTEVIDEO, 1, 576625, 6138450 
7/1/2021, AVENIDA JOSE BELLONI, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 17, MONTEVIDEO, MONTEVIDEO, 1, 578985, 6148500 
7/1/2021, AVENIDA LUIS BATLLE BERRES, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 22, MONTEVIDEO, MONTEVIDEO, 1, 568415, 6143865 
8/1/2021, OFICIAL TRES --NUEVO PARIS--, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 4, MONTEVIDEO, MONTEVIDEO, 1, 568945, 6145325 
8/1/2021, AVENIDA DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 7, MONTEVIDEO, MONTEVIDEO, 1, 577455, 6140215 
8/1/2021, AVENIDA JOSE PEDRO VARELA, ATROPELLO DE PEATÓN, LEVE, VIERNES, 8, MONTEVIDEO, MONTEVIDEO, 1, 577490, 6141690 
8/1/2021, GENERAL OSCAR GESTIDO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 9, MONTEVIDEO, MONTEVIDEO, 1, 577105, 6137035 
8/1/2021, AVENIDA JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 11, MONTEVIDEO, MONTEVIDEO, 1, 576305, 6141200 
8/1/2021, CONSTITUYENTE, ATROPELLO DE PEATÓN, GRAVE, VIERNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 575425, 6136925 
8/1/2021, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 577630, 6139405 
8/1/2021, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, CAÍDA, LEVE, VIERNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 575500, 6141555 
8/1/2021, AVENIDA JOSE BELLONI, ATROPELLO DE PEATÓN, LEVE, VIERNES, 18, MONTEVIDEO, MONTEVIDEO, 1, 578915, 6144155 
