Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
2/1/2021, SIN DATOS, CAÍDA, LEVE, SÁBADO, 6, CANELONES, SIN DATOS, 1, 598985, 6159575 
4/1/2021, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 19, CANELONES, PROGRESO, 1, 571645, 6163155 
4/1/2021, GENERAL GALARZA, CAÍDA, LEVE, LUNES, 20, SORIANO, MERCEDES, 1, 405160, 6320380 
5/1/2021, RESALSERO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MARTES, 2, MALDONADO, PUNTA DEL ESTE, 1, 687570, 6128700 
5/1/2021, BRASIL, ATROPELLO DE ANIMALES, LEVE, MARTES, 16, ROCHA, ROCHA, 1, 744715, 6182725 
4/1/2021, RUTA DIEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 10, MALDONADO, SANTA MONICA, 1, 708630, 6140620 
4/1/2021, SIN DATOS, ATROPELLO DE PEATÓN, GRAVE, LUNES, 9, CANELONES, PARQUE DEL PLATA, 1, 616410, 6153275 
4/1/2021, URUGUAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, COLONIA, CARMELO, 1, 381320, 6237200 
4/1/2021, PLZA ARTIGAS, CAÍDA, LEVE, LUNES, 15, DURAZNO, DURAZNO, 1, 544500, 6306680 
6/1/2021, VENECIA, CAÍDA, SIN LESIONADOS, MIÉRCOLES, 0, MALDONADO, MALDONADO, 1, 686515, 6136440 
6/1/2021, CARLOS GARDEL, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 2, TACUAREMBO, TACUAREMBO, 1, 597380, 6490195 
6/1/2021, CENTRAL, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 5, ROCHA, SIN DATOS, 1, 759045, 6161530 
6/1/2021, AVENIDA BALTASAR BRUM, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 6, ARTIGAS, ARTIGAS, 1, 551710, 6635505 
6/1/2021, RUTA 8 km. 376.700, DESPISTE, FATAL, MIÉRCOLES, 5, CERRO LARGO, SIN DATOS, 1, 770205, 6399180 
6/1/2021, LEANDRO GOMEZ, CAÍDA, LEVE, MIÉRCOLES, 7, FLORES, TRINIDAD, 1, 508795, 6290725 
6/1/2021, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 9, CANELONES, SIN DATOS, 1, 582195, 6181490 
6/1/2021, VENTURA ALEGRE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, MALDONADO, MALDONADO, 1, 687325, 6135415 
6/1/2021, AVENIDA GENERAL JOSE GERVASIO ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 9, CANELONES, SIN DATOS, 1, 570875, 6156925 
6/1/2021, CALLEJON JOSE DE LUCA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 11, LAVALLEJA, MINAS, 1, 661895, 6194455 
6/1/2021, SIN NOMBRE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 13, PAYSANDU, CHACRAS DE PAYSANDU, 1, 402395, 6428215 
6/1/2021, GAVIOTIN Y PLAYERO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MIÉRCOLES, 12, MALDONADO, PUNTA BALLENA, 1, 679220, 6137525 
6/1/2021, RUTA IB KM 104, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, MALDONADO, SIN DATOS, 1, 664340, 6143540 
6/1/2021, ARGENTINA, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MIÉRCOLES, 15, ARTIGAS, ARTIGAS, 1, 551815, 6634535 
6/1/2021, ARTURO MOLLO, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 10, TACUAREMBO, SAN GREGORIO DE POLANCO, 1, 608540, 6390640 
6/1/2021, CALLE 28 LOS PASADORES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, MALDONADO, BALNEARIO BUENOS AIRES, 1, 701310, 6137630 
6/1/2021, BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, FLORIDA, FLORIDA, 1, 572570, 6227020 
6/1/2021, RUTA CAMINO DE LA LANA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, PAYSANDU, SIN DATOS, 1, 486720, 6422345 
6/1/2021, CHARRUAS, CAÍDA, SIN LESIONADOS, MIÉRCOLES, 18, RIO NEGRO, FRAY BENTOS, 1, 378685, 6335125 
6/1/2021, APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 18, RIVERA, RIVERA, 1, 637330, 6581330 
6/1/2021, RUTA TRES, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 13, SALTO, SIN DATOS, 1, 411945, 6535690 
6/1/2021, GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, CANELONES, PROGRESO, 1, 571885, 6162150 
6/1/2021, MIHANOVICH, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 23, COLONIA, COLONIA DEL SACRAMENTO, 1, 420165, 6188575 
7/1/2021, AVENIDA BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 0, RIVERA, RIVERA, 1, 638380, 6580835 
7/1/2021, JOSE MORELLI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 9, CANELONES, COLONIA NICOLICH, 1, 591075, 6146310 
7/1/2021, CUATRO PIEDRAS, CAÍDA, LEVE, JUEVES, 8, CANELONES, SIN DATOS, 1, 562590, 6166205 
7/1/2021, ASENCIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 10, SORIANO, DOLORES, 1, 387075, 6289035 
7/1/2021, JAIME ROSS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 8, TACUAREMBO, TACUAREMBO, 1, 595945, 6490350 
7/1/2021, SIN DATOS, DESPISTE, GRAVE, JUEVES, 7, CANELONES, SIN DATOS, 1, 561655, 6178565 
7/1/2021, DIECINUEVE DE ABRIL, CAÍDA, LEVE, JUEVES, 12, CANELONES, SIN DATOS, 1, 572085, 6156385 
7/1/2021, RAMON ORTIZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 12, CANELONES, SIN DATOS, 1, 570710, 6155800 
7/1/2021, EXODO DEL PUEBLO ORIENTAL ESQUINA ANSINA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 14, SORIANO, DOLORES, 1, 386205, 6289015 
6/1/2021, TIMONEL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, MALDONADO, FARO JOSE IGNACIO, 1, 715595, 6142200 
7/1/2021, CACHIMBA DEL REY, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 14, MALDONADO, MALDONADO, 1, 687265, 6134555 
7/1/2021, SIN DATOS, DESPISTE, SIN LESIONADOS, JUEVES, 16, FLORIDA, SIN DATOS, 1, 598915, 6210760 
7/1/2021, JACINTO MARIA ALVARIZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 17, MALDONADO, SAN CARLOS, 1, 690275, 6149055 
7/1/2021, PEREGRINA BALBOA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, ROCHA, ROCHA, 1, 744435, 6183110 
7/1/2021, CASA PRECARIA MADERA ASENTAMIENTO DE LA LAGUNA, ATROPELLO DE ANIMALES, SIN LESIONADOS, JUEVES, 18, ROCHA, SIN DATOS, 1, 752695, 6160320 
7/1/2021, SERAFIN RIVAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, SORIANO, MERCEDES, 1, 403795, 6320110 
7/1/2021, FRANCISCO FONDAR, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 19, FLORES, TRINIDAD, 1, 509515, 6291100 
7/1/2021, REPUBLICA ESPAÑOLA, ATROPELLO DE PEATÓN, LEVE, JUEVES, 21, ROCHA, ROCHA, 1, 745755, 6182515 
7/1/2021, DEMOCRACIA esq. PARALELA A RUTA INTERBALNEARIA, COLISIÓN ENTRE VEHÍCULOS, FATAL, JUEVES, 19, CANELONES, SAN LUIS, 1, 630425, 6151405 
7/1/2021, RUTA UNO VIEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 19, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 1, 554655, 6153360 
7/1/2021, INTERSECCION CAMINOS VECINALES LAMBARE Y LUMIN, CAÍDA, SIN LESIONADOS, JUEVES, 20, TACUAREMBO, SIN DATOS, 1, 605395, 6504930 
8/1/2021, SIN DATOS, DESPISTE, LEVE, VIERNES, 7, COLONIA, SIN DATOS, 1, 440330, 6210115 
8/1/2021, TREINTA Y TRES, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, VIERNES, 7, ARTIGAS, ARTIGAS, 1, 551230, 6636170 
