Fecha y hora,Departamento,Localidad,Jurisdiccion ,Tipo de Siniestro,Vehiculo,Rol,Edad,Sexo,Fallecido a los Dias,Otro vehiculo,Lugar del Siniestro,X,Y
19/03/2018 10:40,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,78,F,1,CAMIONETA,AVENIDA CENTENARIO ESQ. ESTERO BELLACO,5.772.031.185,61.388.367.373
20/03/2018 10:15,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,86,F,0,OMNIBUS,AVENIDA BURGUES ESQ. SANTA ANA,5.750.084.203,61.431.995.541
23/03/2018 20:18,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,26,F,0,CAMIONETA,CAMINO SANFUENTES ESQ. CAMINO FERRES,5.637.906.413,61.403.615.625
23/03/2018 19:30,COLONIA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,66,M,1,CAMIONETA,RUTA 12 KM 21,,
24/03/2018 02:20,SALTO,SALTO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,62,M,1,AUTO,AVENIDA APOLON DE MIRBEK ESQ. GRITO DE ASENCIO,4.085.542.286,65.292.766.158
25/03/2018 07:10,CANELONES,N/C,NACIONAL,DESPISTE,CAMIONETA,CONDUCTOR,20,M,1,,RUTA 81 KM 95,,
25/03/2018 05:50,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,27,M,0,CAMION,EDUARDO PAZ AGUIRRE ESQ. ABREVADERO,5.675.471.885,61.447.400.092
25/03/2018 05:50,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,19,M,1,CAMION,EDUARDO PAZ AGUIRRE ESQ. ABREVADERO,5.675.471.885,61.447.400.092
25/03/2018 17:15,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,MOTO,CONDUCTOR,22,M,14,,CAMINO ALTUNA ESQ. CAMINO PEIXOTO,5.655.211.553,61.524.350.051
29/03/2018 23:26,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,21,M,0,AUTO,AVENIDA DAMASO ANTONIO LARRANAGA ESQ. MINUANES,5.777.910.789,61.429.648.259
30/03/2018 04:50,MALDONADO,N/C,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,17,M,0,CAMIONETA,AVENIDA FRADE PASANDO PARQUE SAN CARLOS,69.304.910.909.587,614.868.149.249.633
31/03/2018 06:40,SALTO,PALOMAS,DEPARTAMENTAL,ATROPELLO DE ANIMALES,MOTO,CONDUCTOR,25,M,1,,CAMINO VECINAL,,
31/03/2018 16:20,MALDONADO,GARZON,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,PASAJERO,61,F,0,CAMION,CAMINO A LA ESTACION ESQ. AVENIDA GARZON,7.250.603.914,61.691.532.546
1/4/2018 9:40,SORIANO,MERCEDES,NACIONAL,DESPISTE,MOTO,PASAJERO,32,F,0,,RUTA 2 KM 277,,
1/4/2018 14:00,COLONIA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,CAMIONETA,PASAJERO,12,F,0,CAMIONETA,RUTA 12 KM 119,,
1/4/2018 14:00,COLONIA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,CAMIONETA,PASAJERO,10,F,0,CAMIONETA,RUTA 12 KM 119,,
1/4/2018 14:00,COLONIA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,CAMIONETA,PASAJERO,10,F,0,CAMIONETA,RUTA 12 KM 119,,
2/4/2018 20:00,COLONIA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,71,M,0,CAMIONETA,RUTA 97 ESQ. COLONIA ESTRELLA,38.561.722.520.962,623.883.860.162.158
